X0	Y0	Rel_dens
0.5	7.6	-8.464289870322285e8
0.5	7.7	-8.4816629819524e8
0.5	7.8	-8.493881262811489e8
0.5	7.9	-8.500878124539509e8
0.5	8.0	-8.502600348709774e8
0.5	8.1	-8.331045882158966e8
0.5	8.2	-8.366271638269196e8
0.5	8.3	-8.397345534543972e8
0.5	8.4	-8.424195071537895e8
0.5	8.5	-8.446750917612228e8
0.5	8.6	-8.464950439128551e8
0.5	8.7	-8.478739118078518e8
0.5	8.8	-8.488062874280167e8
0.5	8.9	-8.492878357545795e8
0.5	9.0	-8.286133735488014e8
0.5	9.1	-8.322505777734509e8
0.5	9.2	-8.355366275355587e8
0.5	9.3	-8.384656705587864e8
0.5	9.4	-8.410320905675411e8
0.5	9.5	-8.432306144351025e8
0.5	9.6	-8.450567288353481e8
0.5	9.7	-8.465060149999237e8
0.5	9.8	-8.475745175588818e8
0.5	9.9	-8.482364863659039e8
0.5	10.0	-8.484865262462311e8
0.6	0.0	-1.1965607020588026e9
0.6	0.1	-3.389986847631407e7
0.6	0.2	-1.066339510895195e8
0.6	0.3	-2.2421763769461632e8
0.6	0.4	-2.9342660980081224e8
0.6	0.5	-2.1351172587539768e8
0.6	0.6	-1.2041807377398014e7
0.6	0.7	-2.2821092925014305e8
0.6	0.8	-4.30522352435524e8
0.6	0.9	-6.238667888042617e8
0.6	1.0	-7.323586046409955e8
0.6	1.1	-8.183121463664646e8
0.6	1.2	-8.778926478893003e8
0.6	1.3	-9.229910216415434e8
0.6	1.4	-9.929190861489601e8
0.6	1.5	-1.1348168456388454e9
0.6	1.6	-1.158041433180932e9
0.6	1.7	-1.189801217950879e9
0.6	1.8	-1.2093369846167164e9
